PlayerID,ExitVelocity,HitDistance,LaunchAngle,Year,PlayerName
bd22702e-aea1-480a-94f2-ecf8a24cb6fc,0,0,2,2025,Taylor Walls
630d5c5e-ae1b-4bf4-9044-3a13471d6a77,0,0,4,2025,Isaac Paredes
5ba4f9c3-1f85-4578-a391-0ea78bd349f5,0,0,2,2025,Harold Ramírez
a9ca4c31-621d-4079-ab39-f151ef91337e,0,30,0,2025,Christian Bethancourt
100000,0,0,2,2025,Curtis Mead
4c808377-d855-4aac-930d-431304466a73,0,0,2,2025,Manuel Margot
b7e98fe0-3630-48e1-af9f-54307bbc3f4c,0,0,2,2025,Jonathan Aranda
d32ee8a5-96e7-4a03-9ccc-a9b8c967fcc1,0,30,2,2025,Josh Lowe
8e65e649-9963-46ad-ad61-d98637343e20,0,0,0,2025,René Pinto
f52527ff-bfc6-4817-b9ba-1e5f590c7575,0,0,0,2025,Raimel Tapia
ee472f70-a8b1-44d8-8aea-bd47259bd18f,0,30,0,2025,Yandy Díaz
7678fba3-3883-4d95-8e29-7046ab342cce,0,0,2,2025,Junior Caminero
100001,0,0,0,2025,Cam Eden
7624ad86-ec6b-4b3d-a86a-8c6477707c19,0,0,4,2025,Bo Bichette
4941c3e1-b783-413c-9c1e-d93fb2cf96c3,0,0,4,2025,Daulton Varsho
d49810c7-5c15-42ec-ae6c-6aff5870f36f,0,0,2,2025,Matt Chapman
1a351577-6975-4fa4-b15e-d45ff28985aa,0,0,0,2025,Whit Merrifield
ceb9f558-8c00-4209-a933-d4a67f90200e,0,0,2,2025,Kevin Kiermaier
9025b876-b34b-452d-a752-bc5e6503dfd0,0,0,2,2025,Davis Schneider
b36c8b44-1287-40de-ae77-1104053451e1,0,0,0,2025,Santiago Espinal
c69b10a0-f763-4efa-a1aa-b073a4e8cf4d,0,0,2,2025,George Springer
68b28ea4-30fe-4700-a61d-30b4787e8218,0,0,0,2025,Cavan Biggio
100002,0,0,2,2025,Tyler Heineman
100003,0,0,0,2025,Vladimir Guerrero Jr.
a945d7d4-6b6d-4ff4-8790-9bfb8ccddace,0,0,0,2025,Alejandro Kirk
